"response","var","time","level","predicted.value","standard.error","est.status"
"glucose","AGEcat",57.0000000003,"(15,30]",117.677072241593,3.55265469910209,"Estimable"
"glucose","AGEcat",60,"(0,5]",113.419827138801,1.72798678676899,"Estimable"
"glucose","AGEcat",60,"(5,10]",126.46955354609,3.61573938906711,"Estimable"
"glucose","AGEcat",60,"(10,15]",128.015781885926,3.99122263836699,"Estimable"
"glucose","AGEcat",60,"(15,30]",118.628597537529,3.56023295163661,"Estimable"
"glucose","AGEcat",69.0000000001,"(0,5]",115.622347382879,1.74645525652009,"Estimable"
"glucose","AGEcat",69.0000000001,"(5,10]",129.423895439691,3.65907952293616,"Estimable"
"glucose","AGEcat",69.0000000001,"(10,15]",131.191289487242,4.03921401939351,"Estimable"
"glucose","AGEcat",69.0000000001,"(15,30]",121.047606217647,3.59607725483361,"Estimable"
"glucose","AGEcat",75,"(0,5]",116.742472628492,1.76035765297311,"Estimable"
"glucose","AGEcat",75,"(5,10]",130.872992090564,3.68884093535581,"Estimable"
"glucose","AGEcat",75,"(10,15]",132.91131313064,4.07269515287474,"Estimable"
"glucose","AGEcat",75,"(15,30]",122.297305997679,3.62203554803991,"Estimable"
"glucose","AGEcat",84.0000000001,"(0,5]",117.900328121346,1.77777412691876,"Estimable"
"glucose","AGEcat",84.0000000001,"(5,10]",132.265940149704,3.72262892282138,"Estimable"
"glucose","AGEcat",84.0000000001,"(10,15]",134.895876459661,4.111737170827,"Estimable"
"glucose","AGEcat",84.0000000001,"(15,30]",123.627396657762,3.65142392342665,"Estimable"
"glucose","AGEcat",90,"(0,5]",118.324010199495,1.7853718475464,"Estimable"
"glucose","AGEcat",90,"(5,10]",132.674107577632,3.73399731222956,"Estimable"
"glucose","AGEcat",90,"(10,15]",135.821937254885,4.1260699402902,"Estimable"
"glucose","AGEcat",90,"(15,30]",124.151151091124,3.66041449674901,"Estimable"
"glucose","AGEcat",99.0000000001,"(0,5]",118.437200941124,1.79049926244046,"Estimable"
"glucose","AGEcat",99.0000000001,"(5,10]",132.505661802311,3.73264166644327,"Estimable"
"glucose","AGEcat",99.0000000001,"(10,15]",136.615556311611,4.12846792503561,"Estimable"
"glucose","AGEcat",99.0000000001,"(15,30]",124.392323731172,3.65575768908709,"Estimable"
"glucose","AGEcat",108.0000000002,"(0,5]",117.923592832011,1.79127453498858,"Estimable"
"glucose","AGEcat",108.0000000002,"(5,10]",131.400379726303,3.71366690242739,"Estimable"
"glucose","AGEcat",108.0000000002,"(10,15]",136.694608804952,4.11340450149804,"Estimable"
"glucose","AGEcat",108.0000000002,"(15,30]",123.98014555919,3.63308359963089,"Estimable"
"glucose","AGEcat",117.0000000003,"(0,5]",116.783185872156,1.79519158789364,"Estimable"
"glucose","AGEcat",117.0000000003,"(5,10]",129.358261349608,3.68961962714936,"Estimable"
